ranking,name,age,sector,gender,title,self_made,organization,country
1905,Sheryl Sandberg,53,Technology,F,COO,,Meta Platforms,USA
1905,Amnon Shashua,62,Automotive,M,,,,ISR
1905,Ben Silbermann,40,Media & Entertainment,M,Cofounder,,Pinterest,USA
1905,Ron Sim,64,Fashion & Retail,M,,,,SGP
1905,Leonid Simanovsky,73,Finance & Investments,M,,,,RUS
1905,Basudeo Singh,82,Healthcare,M,,,,IND
1905,Frank Slootman,64,Technology,M,,,,USA
1905,Terry Snow,79,Real Estate,M,,,,AUS
1905,Axel Stawski,72,Real Estate,M,,,,USA
1905,Thomas Steyer,65,Finance & Investments,M,,,,USA
1905,Sergei Studennikov & family,56,Fashion & Retail,M,,,,RUS
1905,Su Suyu & family,74,Real Estate,F,,,,CHN
1905,Kevin Systrom,39,Technology,M,Cofounder,,Instagram,USA
1905,Tang Binsen,40,Food & Beverage,M,,,,CHN
1905,Prachak Tangkaravakoon,79,Manufacturing,M,,,,THA
1905,Jeff Tangney,50,Healthcare,M,CEO,,Doximity,USA
1905,Yuequn Tao,63,Fashion & Retail,M,,,,CHN
1905,David Teoh,67,Telecom,M,,,,AUS
1905,Carmen Thyssen,79,Manufacturing,F,,,,AND
1905,Tran Ba Duong & family,63,Automotive,M,,,,VNM
1905,Kenny Troutt,75,Telecom,M,,,,USA
1905,Jens von Bahr,52,Gambling & Casinos,M,,,,SWE
1905,Wang Junmin,54,Healthcare,M,,,,CHN
1905,Weng Xianding,61,Healthcare,M,,,,CHN
1905,Farris Wilks,71,Energy,M,,,,USA
1905,Gordon Wu,87,Real Estate,M,,,,HKG
1905,Xiong Wu,47,Technology,M,,,,CHN
1905,Xu Zhihan,50,Technology,M,,,,CHN
1905,Tingdong Yang,62,Food & Beverage,M,,,,CHN
1905,Michael Minhong Yu,61,Service,M,,,,CHN
1905,Zhang Bangxin,43,Service,M,,,,CHN
1905,Zhou Zongwen & family,66,Fashion & Retail,M,,,,CHN
2020,Antti Aarnio-Wihuri,83,Diversified,M,,,,FIN
2020,Alberto Alcocer,80,Finance & Investments,M,,,,ESP
2020,Nigel Austin,52,Fashion & Retail,M,,,,AUS
2020,Binny Bansal,40,Technology,M,,,,SGP
2020,Girdhari Lal Bawri,75,Healthcare,M,,,,IND
2020,John Bloor,79,Diversified,M,,,,GBR
2020,Vladimir Bogdanov,71,Energy,M,,,,RUS
2020,Amit Burman,53,Food & Beverage,M,,,,IND
2020,Cai Jianyong,52,Metals & Mining,M,,,,CHN
2020,Steve Case,64,Technology,M,,,,USA
2020,Chen Wenyuan & family,55,Technology,M,,,,CHN
2020,Chua Thian Poh,74,Real Estate,M,,,,SGP
2020,Sasson Dayan & family,83,Finance & Investments,M,,,,BRA
2020,Chris Ellison,65,Metals & Mining,M,,,,AUS
2020,John Farber,97,Manufacturing,M,Dr.,,,USA
2020,J. Christopher Flowers,65,Finance & Investments,M,Founder and Managing Director,,J.C. Flowers & Co. LLC,USA
2020,Reinold Geiger,75,Fashion & Retail,M,,,,CHE
2020,Ali Ghodsi,44,Technology,M,,,,USA
2020,Lance Gokongwei,55,Diversified,M,,,,PHL
2020,Guan Yihong,53,Food & Beverage,M,,,,CHN
2020,Rajinder Gupta,64,Manufacturing,M,,,,IND
2020,Torstein Hagen,80,Service,M,,,,CHE
2020,Alfredo Harp Helu & family,79,Finance & Investments,M,,,,MEX
2020,He Xiaopeng,45,Automotive,M,,,,CHN
2020,Christoph Henkel,65,Fashion & Retail,M,,,,GBR
2020,Daniel Hirschfeld,81,Fashion & Retail,M,,,,USA
2020,Drew Houston,40,Technology,M,CEO,,Dropbox,USA
2020,Huang Jinxiang & family,58,Manufacturing,M,,,,CHN
2020,Rameshchandra Jain,74,Manufacturing,M,,,,IND
2020,Ke Zunhong & family,68,Healthcare,M,,,,CHN
2020,Kim Taek-jin,56,Media & Entertainment,M,,,NCSOFT Corporation,KOR
2020,Koh Wee Meng,59,Real Estate,M,,,,SGP
2020,Sergei Kolesnikov,51,Manufacturing,M,,,,RUS
2020,Hemendra Kothari,76,Finance & Investments,M,,,,IND
2020,Sebastian Kulczyk,42,Finance & Investments,M,,,,CHE
2020,Kwee Liong Keng,77,Real Estate,M,,,,SGP
2020,Kwee Liong Phing,65,Real Estate,M,,,,SGP
2020,Kwee Liong Seen,70,Real Estate,M,,,,SGP
2020,Kwee Liong Tek,76,Real Estate,M,,,,SGP
2020,Kwek Leng Keow,71,Diversified,M,,,,SGP
2020,Kwek Leng Peck,67,Diversified,M,,,,SGP
2020,Raymond Kwok,69,Real Estate,M,,,,HKG
2020,Lee Ho-jin,60,Diversified,M,,,Taekwang Industrial,KOR
2020,Michael Lee-Chin,72,Finance & Investments,M,,,,CAN
2020,Manfredi Lefebvre d'Ovidio & family,69,Service,M,,,,MCO
2020,Bernard Lewis & family,97,Fashion & Retail,M,,,,GBR
2020,William Li,48,Automotive,M,,,,CHN
2020,Jenny Lindén Urnes,52,Manufacturing,F,,,,SWE
2020,Liu Fangyi,53,Healthcare,M,,,,CHN
2020,K.C. Liu,69,Technology,M,,,,TWN
2020,Liu Ming Chung,60,Manufacturing,M,,,,HKG
2020,Anatoly Lomakin,70,Metals & Mining,M,,,,RUS
2020,Brandt Louie,79,Food & Beverage,M,,,,CAN
2020,Lucia Maggi & family,90,Diversified,F,Philanthropist,,,BRA
2020,Gary Magness,69,Media & Entertainment,M,,,,USA
2020,Mao Lixiang & family,82,Technology,M,,,,CHN
2020,David McMurtry,82,Manufacturing,M,,,,GBR
2020,Deepak Mehta,66,Manufacturing,M,,,,IND
2020,Miao Shouliang,68,Real Estate,M,,,,CHN
2020,Miao Yongjun,55,Healthcare,M,,,,CHN
2020,Yoshiko Mori,82,Real Estate,F,,,,JPN
2020,Marius Nacht,57,Technology,M,,,,ISR
2020,Vadim Novinsky,59,Metals & Mining,M,,,,UKR
2020,Niti Osathanugrah,49,Finance & Investments,M,,,,THA
2020,Gretel Packer,57,Finance & Investments,F,,,,AUS
2020,Pan Longquan,58,Manufacturing,M,,,,CHN
2020,Pan Shiyi,60,Real Estate,M,,,,CHN
2020,David Paul,56,Healthcare,M,Founder and Executive Chairman,,Globus Medical,USA
2020,Tom Persson,38,Fashion & Retail,M,,,,SWE
2020,Qian Jinghong,50,Automotive,F,,,,CHN
2020,Qin Long,57,Manufacturing,M,,,,CHN
2020,M.Satyanarayana Reddy,65,Healthcare,M,,,,IND
2020,Mochtar Riady & family,93,Diversified,M,,,,IDN
2020,Rihanna,35,Fashion & Retail,F,Musician,,,USA
2020,Boris Rotenberg,66,Construction & Engineering,M,,,,RUS
2020,Subhash Runwal,79,Real Estate,M,,,,IND
2020,Igor Rybakov,50,Manufacturing,M,,,,RUS
2020,Carlos Sanchez,61,Healthcare,M,,,,BRA
2020,Martin Selig,85,Real Estate,M,,,,USA
2020,Airat Shaimiev,61,Energy,M,,,,RUS
2020,Radik Shaimiev,58,Energy,M,,,,RUS
2020,Nobutoshi Shimamura,97,Fashion & Retail,M,,,,JPN
2020,Jared Smith,48,Technology,M,,,,USA
2020,Charlotte Soderstrom,46,Fashion & Retail,F,,,,SWE
2020,Anand Surana,52,Healthcare,M,,,,IND
2020,Dilip Surana,57,Healthcare,M,,,,IND
2020,Wilma Tisch,95,Finance & Investments,F,,,,USA
2020,Jianyi Wang,60,Technology,M,,,,CHN
2020,Wang Jilei,58,Logistics,M,,,,CHN
2020,Shuifu Wang,68,Manufacturing,M,,,,CHN
2020,Wang Yanqing & family,76,Manufacturing,F,,,,CHN
2020,Wang Zelong,26,Metals & Mining,M,,,,CHN
2020,Werner O. Weber,84,Manufacturing,M,,,,CHE
2020,Anne Werninghaus,37,Manufacturing,F,,,,BRA
2020,"Alfred West, Jr.",80,Finance & Investments,M,,,,USA
2020,Bo Wu,68,Manufacturing,M,,,,CHN
2020,Wu Chaoqun,53,Manufacturing,M,,,,CHN
2020,Swift Xie,43,Technology,M,Chief Marketing Officer,,DJI Technology Co.,CHN
2020,Xu Guozhong & family,59,Manufacturing,M,,,,CHN
2020,Yao Kuizhang,58,Food & Beverage,M,,,,CHN
2020,Yu Peidi,63,Real Estate,M,,,,CHN
2020,Yuan Liping,52,Healthcare,F,,,,CHN
2020,Zhang Chuanwei & family,60,Manufacturing,M,,,,CHN
2020,Zhang Keqiang,62,Real Estate,M,,,,CHN
2020,Zhang Xin,57,Real Estate,F,"Cofounder, CEO",,SOHO China,CHN
2020,Xinghai Zhang & family,60,Manufacturing,M,,,,CHN
2020,Zheng Jianjiang & family,62,Manufacturing,M,,,,CHN
2020,Zhong Sheng Jian,65,Real Estate,M,,,,SGP
2020,Zhou Chengjian,57,Fashion & Retail,M,,,,CHN
2020,Boris Zingarevich,63,Diversified,M,,,,RUS
2133,A. Jayson Adair,53,Automotive,M,,,,USA
2133,Soegiarto Adikoesoemo,85,Logistics,M,,,,IDN
2133,Rajendra Agarwal,64,Healthcare,M,,,,IND
2133,Chirayu Amin,76,Healthcare,M,,,,IND
2133,Anant Asavabhokhin,72,Real Estate,M,,,,THA
2133,Roman Avdeev,55,Finance & Investments,M,,,,RUS
2133,Ziv Aviram,64,Automotive,M,,,,ISR
2133,Sachin Bansal,41,Fashion & Retail,M,,,,IND
2133,Kiki Barki,83,Energy,M,,,,IDN
2133,Elena Baturina,60,Construction & Engineering,F,,,,GBR
2133,Banwari Lal Bawri,70,Healthcare,M,,,,IND
2133,Othman Benjelloun & family,90,Finance & Investments,M,,,,MAR
2133,Hari Bhartia,66,Diversified,M,,,,IND
2133,Shyam Bhartia,70,Healthcare,M,,,,IND
2133,Stewart Butterfield,50,Technology,M,Cofounder and CEO,,Slack,USA
2133,Cai Mingtong,71,Technology,M,,,,CHN
2133,Anthony Casalena,40,Technology,M,,,,USA
2133,Chang Jianming & family,58,Manufacturing,M,,,,CHN
2133,Richard Chang,76,Real Estate,M,,,,TWN
2133,Chen Xuehua,62,Metals & Mining,M,,,,CHN
2133,Chen Yin,50,Manufacturing,M,,,,CHN
2133,Chin Jong Hwa,64,Automotive,M,,,,TWN
2133,R. Marcelo Claure,52,Telecom,M,,,,USA
2133,Alberto Cortina,77,Finance & Investments,M,,,,ESP
2133,Eduardo Costantini,76,Real Estate,M,,,,ARG
2133,Wenjun Dai,54,Food & Beverage,M,,,,CHN
2133,Anand Deshpande,60,Technology,M,,,,IND
2133,Aydin Dogan,86,Media & Entertainment,M,,,,TUR
2133,Annalisa Doris,52,Finance & Investments,F,,,,ITA
2133,Massimo Doris,55,Finance & Investments,M,,,,ITA
2133,Weimin Du,59,Healthcare,M,,,,CHN
2133,Timothy Dunn & family,67,Energy,M,,,,USA
2133,Keiko Erikawa,74,Media & Entertainment,F,,,,JPN
2133,Yoichi Erikawa,72,Media & Entertainment,M,,,,JPN
2133,Philip Fayer,45,Finance & Investments,M,,,,CAN
2133,Marvy Finger,87,Real Estate,M,,,,USA
2133,Simona Giorgetta,45,Construction & Engineering,F,,,,ITA
2133,Joel Greenberg,65,Finance & Investments,M,,,,USA
2133,He Zhiping,59,Finance & Investments,M,,,,CHN
2133,Heikki Herlin,36,Manufacturing,M,,,,FIN
2133,Hoi Kin Hong,70,Real Estate,M,,,,CHN
2133,Gregg Hymowitz,57,Finance & Investments,M,,,,USA
2133,Mitchell Jacobson,72,Service,M,,,,USA
2133,Anurang Jain,61,Manufacturing,M,,,,IND
2133,Jiang Guiting & family,64,Manufacturing,M,,,,CHN
2133,Jin Xin,56,Manufacturing,M,,,,CHN
2133,Conni Jonsson,62,Finance & Investments,M,,,,SWE
2133,George Joseph,101,Finance & Investments,M,,,,USA
2133,Laurent Junique,57,Technology,M,,,,SGP
2133,Zbigniew Juroszek & family,60,Diversified,M,,,,POL
2133,Alexander Karp,55,Technology,M,Cofounder and CEO,,Palantir Technologies,USA
2133,Joe Kiani,58,Healthcare,M,Chairman and CEO,,Masimo,USA
2133,Seth Klarman,65,Finance & Investments,M,Investor,,Baupost Group,USA
2133,Kagemasa Kozuki,82,Technology,M,,,,JPN
2133,Michael Krasny,69,Technology,M,Investor,,Sawdust Investment Management Corp.,USA
2133,Eduard Kucera,70,Technology,M,,,,CZE
2133,Kristo Käärmann,42,Finance & Investments,M,Cofounder,,Wise,GBR
2133,Gary Lauder,60,Fashion & Retail,M,,,,USA
2133,Lee Hae-jin,55,Technology,M,,,NAVER Corp.,KOR
2133,Art Levinson,73,Diversified,M,,,,USA
2133,Li Denghai,73,Food & Beverage,M,,,,CHN
2133,Fengluan Li,61,Diversified,F,,,,CHN
2133,Li Yongqing,58,Manufacturing,M,,,,CHN
2133,Li Zhigang,46,Manufacturing,M,,,,CHN
2133,Liu Gexin & family,71,Healthcare,M,,,,CHN
2133,Itamar Locks & family,68,Food & Beverage,M,,,,BRA
2133,Lu Hongyan,45,Media & Entertainment,M,,,,CHN
2133,Lv Jianming,58,Healthcare,M,,,,CHN
2133,Blairo Maggi,66,Food & Beverage,M,,,,BRA
2133,Yasseen Mansour,61,Diversified,M,,,,EGY
2133,George Marcus,81,Real Estate,M,,,,USA
2133,Carsten Maschmeyer,63,Finance & Investments,M,,,,DEU
2133,Martin Moller Nielsen,58,Logistics,M,,,,CHE
2133,Jahm Najafi,60,Finance & Investments,M,,,,USA
2133,Randal Nardone,67,Finance & Investments,M,,,,USA
2133,Nguyen Dang Quang,59,Food & Beverage,M,,,,VNM
2133,Kazuo Okada,80,Gambling & Casinos,M,,,,JPN
2133,John Oyler,55,Healthcare,M,,,,USA
2133,George Pedersen & family,87,Manufacturing,M,,,,USA
2133,Qu Miranda,38,Fashion & Retail,F,,,,CHN
2133,Jupally Rameshwar Rao,67,Real Estate,M,,,,IND
2133,G. M. Rao,72,Logistics,M,,,,IND
2133,P.V. Ramprasad Reddy,65,Healthcare,M,,,,IND
2133,Satish Reddy,55,Healthcare,M,,,,IND
2133,Fernando Roig,75,Fashion & Retail,M,,,,ESP
2133,Igor Rotenberg,49,Diversified,M,,,,RUS
2133,Seifeddin Rustamov,60,Manufacturing,M,,,,USA
2133,Deniz Sahenk,77,Diversified,F,,,,TUR
2133,Nobutada Saji,77,Food & Beverage,M,,,,JPN
2133,Hajime Satomi,81,Gambling & Casinos,M,,,,JPN
2133,James Scapa,66,Technology,M,,,,USA
2133,Devi Shetty,70,Healthcare,M,,,,IND
2133,Albert Shigaboutdinov,70,Diversified,M,,,,RUS
2133,Denis Shtengelov,50,Food & Beverage,M,,,,AUS
2133,Fei Song,56,Manufacturing,M,,,,CHN
2133,Hal Steinbrenner,54,Sports,M,,,,USA
2133,Jessica Steinbrenner,59,Sports,F,,,,USA
2133,Jennifer Steinbrenner Swindal,63,Sports,F,,,,USA
2133,Konstantin Strukov & family,64,Metals & Mining,M,,,,RUS
2133,Rustem Sulteev,69,Energy,M,,,,RUS
2133,Clemens Toennies,66,Food & Beverage,M,,,,DEU
2133,Robert Toennies,44,Food & Beverage,M,,,,DEU
2133,John Van Lieshout,77,Real Estate,M,,,,AUS
2133,Pongsak Viddayakorn,89,Healthcare,M,,,,THA
2133,Wang Jianguo,63,Fashion & Retail,M,,,,CHN
2133,Junjin Wang,54,Service,M,,,,CHN
2133,Wang Mingwang,55,Manufacturing,M,,,,CHN
2133,Wei Lidong & family,47,Technology,M,,,,CHN
2133,Myron Wentz,83,Fashion & Retail,M,,,,CYM
2133,Wu Xiaoge,50,Manufacturing,F,,,,CHN
2133,Wu Xushun & family,74,Diversified,M,,,,CHN
2133,Xiong Xiaochuan,57,Healthcare,M,,,,CHN
2133,Xu Shaochun,60,Technology,M,,,,CHN
2133,Yan Jane & family,53,Technology,F,,,,CHN
2133,Zeng Chaoyi,54,Manufacturing,M,,,,CHN
2133,Peng Zhao,52,Service,M,,,,CHN
2133,Zhao Tongtong,56,Service,F,,,,HKG
2133,Kostyantin Zhevago,49,Metals & Mining,M,,,,UKR
2259,Sanjay Agarwal,52,Finance & Investments,M,,,,IND
2259,Hamad bin Jassim bin Jaber Al Thani,63,Finance & Investments,M,,,,QAT
2259,Joao Alves de Queiroz Filho,70,Diversified,M,,,,BRA
2259,Jose Maria Aristrain,60,Metals & Mining,M,,,,CHE
2259,Michael Arougheti,50,Finance & Investments,M,,,,USA
2259,Tope Awotona,41,Technology,M,,,Calendly,USA
2259,Mehmet Aydinlar,66,Healthcare,M,,,,TUR
2259,Danna Azrieli,55,Real Estate,F,,,,ISR
2259,Naomi Azrieli,57,Real Estate,F,,,,CAN
2259,Sharon Azrieli,62,Real Estate,F,,,,CAN
2259,Bai Houshan,59,Energy,M,,,,CHN
2259,Thomas Bailey,86,Finance & Investments,M,,,,USA
2259,Bernhard Braun-Luedicke,46,Healthcare,M,,,,DEU
2259,Eva Maria Braun-Luedicke,36,Healthcare,F,,,,DEU
2259,Friederike Braun-Luedicke,39,Healthcare,F,,,,DEU
2259,Jeffrey Cheah,78,Real Estate,M,,,,MYS
2259,Chen Xianbao & family,63,Food & Beverage,M,,,,CHN
2259,Cheng Xianfeng,54,Healthcare,M,,,,CHN
2259,Chung Yong-jin,54,Fashion & Retail,M,,,Shinsegae,KOR
2259,Darwin Deason,82,Service,M,,,,USA
2259,Diego Della Valle,69,Fashion & Retail,M,,,,ITA
2259,Ashwin Desai,71,Manufacturing,M,,,,IND
2259,Richard Desmond,71,Media & Entertainment,M,,,,GBR
2259,Ding Shui Po,52,Fashion & Retail,M,,,,CHN
2259,Sefik Yilmaz Dizdar,85,Fashion & Retail,M,,,,TUR
2259,Mathias Doepfner,60,Media & Entertainment,M,,,,DEU
2259,Farhad Ebrahimi,84,Manufacturing,M,,,,USA
2259,Jose Roberto Ermirio de Moraes,65,Diversified,M,,,,BRA
2259,Jose Ermirio de Moraes Neto,70,Diversified,M,,,,BRA
2259,Fang Hongbo,56,Manufacturing,M,,,,CHN
2259,David Feffer,66,Manufacturing,M,,,,BRA
2259,Zsolt Felcsuti,51,Manufacturing,M,,,,HUN
2259,Ben Francis,30,Fashion & Retail,M,,,,GBR
2259,Gary Friedman,65,Fashion & Retail,M,,,,USA
2259,Dan Gertler,49,Metals & Mining,M,,,,ISR
2259,Balkrishan Goenka,56,Manufacturing,M,,,,IND
2259,Lawrence Golub,63,Finance & Investments,M,Investor,,,USA
2259,Saroj Rani Gupta,72,Manufacturing,F,,,,IND
2259,Anthony Hall,67,Technology,M,,,,AUS
2259,Fahed Hariri,42,Construction & Engineering,M,,,,GBR
2259,Richard Hayne,75,Fashion & Retail,M,"Chairman, President & Chief Executive Officer",,Urban Outfitters Inc.,USA
2259,Michael Heine,73,Finance & Investments,M,,,,AUS
2259,Orion Hindawi,43,Technology,M,CEO,,Tanium,USA
2259,Lawrence Ho,46,Gambling & Casinos,M,,,,HKG
2259,Huang Guanlin,58,Fashion & Retail,M,,,,CHN
2259,Sam Hupert,68,Technology,M,,,,AUS
2259,Mohammed Ibrahim,76,Telecom,M,Founder,,Mo Ibrahim Foundation,GBR
2259,Shirley Kao,66,Food & Beverage,F,,,,TWN
2259,David Kaplan,55,Finance & Investments,M,,,,USA
2259,Kim Kardashian,42,Fashion & Retail,F,Personality,,,USA
2259,Ke Guihua,57,Manufacturing,M,,,,CHN
2259,Ke Yunfeng & family,56,Healthcare,M,,,,CHN
2259,Alexander Klyachin,55,Real Estate,M,,,,RUS
2259,Suresh Krishna,86,Automotive,M,,,,IND
2259,Guy Laliberté,63,Media & Entertainment,M,Cofounder and CEO,,Cirque du Soleil,CAN
2259,Lee Su-jin,45,Technology,M,,,,KOR
2259,Li Guoqing,53,Manufacturing,M,,,,CHN
2259,Li Li,59,Healthcare,M,,,,CHN
2259,Li Ruiqiang,43,Healthcare,M,,,,CHN
2259,Zhen Li & family,59,Manufacturing,M,,,,CHN
2259,Guangwei Liang,59,Manufacturing,M,,,,CHN
2259,Liu Ming Hui,60,Energy,M,,,,HKG
2259,Frederic Luddy,68,Technology,M,Founder and Chief Product Officer,,ServiceNow,USA
2259,"Cargill MacMillan, III.",63,Food & Beverage,M,,,,USA
2259,John MacMillan,73,Food & Beverage,M,,,,USA
2259,Martha MacMillan,71,Food & Beverage,F,,,,USA
2259,William MacMillan,68,Food & Beverage,M,,,,USA
2259,Keshub Mahindra,99,Diversified,M,,,,IND
2259,Mao Zhongwu,60,Manufacturing,M,,,,CHN
2259,Jorge Mas,60,Construction & Engineering,M,,,,USA
2259,Lorinc Meszaros,57,Diversified,M,,,,HUN
2259,Jeffrey Michael & family,66,Technology,M,,,,USA
2259,Alan Miller & family,85,Healthcare,M,,,,USA
2259,Neide Helena de Moraes,68,Diversified,F,,,,BRA
2259,Scott Nuttall,50,Finance & Investments,M,,,,USA
2259,Axel Oberwelland & family,56,Food & Beverage,M,,,,DEU
2259,Jonathan Oringer,48,Technology,M,,,,USA
2259,Vitaly Orlov,58,Food & Beverage,M,,,,RUS
2259,Jose Isaac Peres & family,82,Real Estate,M,,,,BRA
2259,Markus Persson,43,Media & Entertainment,M,,,,SWE
2259,Mark Pincus,57,Technology,M,Chairman,,Zynga Inc,USA
2259,Murdaya Poo,82,Diversified,M,,,,IDN
2259,Forrest Preston,90,Healthcare,M,,,,USA
2259,Qian Ying,57,Food & Beverage,F,,,,CHN
2259,Jimmy Rane,76,Manufacturing,M,,,,USA
2259,Andrei Rappoport,59,Finance & Investments,M,,,,CHE
2259,Bennett Rosenthal,59,Finance & Investments,M,,,,USA
2259,Atul Ruia,52,Real Estate,M,,,,IND
2259,Thomas Sandell,62,Finance & Investments,M,Founder,,Sandell Asset Management,GBR
2259,Dhruv Sawhney,78,Construction & Engineering,M,,,,ARE
2259,Gerald Schwartz,81,Finance & Investments,M,,,,CAN
2259,Antonio Luiz Seabra,80,Fashion & Retail,M,,,,GBR
2259,Eric Ya Shen,52,Technology,M,,,,CHN
2259,Sytse 'Sid' Sijbrandij,43,Technology,M,,,,USA
2259,Alexander Sixt,43,Automotive,M,,,,DEU
2259,Konstantin Sixt,40,Automotive,M,,,,DEU
2259,Edwin Soeryadjaya,73,Energy,M,,,,IDN
2259,Abhay Soi,49,Healthcare,M,,,,IND
2259,Mike Speiser,52,Technology,M,Managing Director,,Sutter Hill Ventures,GBR
2259,Marco Squinzi,51,Construction & Engineering,M,,,,ITA
2259,Veronica Squinzi,51,Construction & Engineering,F,,,,ITA
2259,Michael Steinhardt,82,Finance & Investments,M,,,,USA
2259,Ion Stoica,58,Technology,M,,,,USA
2259,Eddy Sugianto,77,Metals & Mining,M,,,,IDN
2259,Luc Tack,61,Manufacturing,M,,,,BEL
2259,Tony Tan Caktiong,70,Food & Beverage,M,,,,PHL
2259,Xiuguo Tang,59,Manufacturing,M,,,,CHN
2259,Sam Tarascio,78,Real Estate,M,,,,AUS
2259,Lina Tombolato,75,Finance & Investments,F,,,,ITA
2259,Ching Bor Tung,60,Manufacturing,M,,,,CHN
2259,Joop van den Ende,81,Media & Entertainment,M,,,,NLD
2259,Ruben Vardanyan & family,54,Finance & Investments,M,,,,ARM
2259,Sandro Veronesi & family,63,Fashion & Retail,M,,,,ITA
2259,Thongma Vijitpongpun,65,Real Estate,M,,,,THA
2259,Thomas von Koch,57,Finance & Investments,M,,,,HKG
2259,Wang Shih-Chung,61,Manufacturing,M,,,,TWN
2259,Wang Xiaoshen,54,Manufacturing,M,,,,CHN
2259,J. Wayne Weaver,87,Diversified,M,,,,USA
2259,Drorit Wertheim,67,Food & Beverage,F,,,,ISR
2259,Cameron Winklevoss,41,Finance & Investments,M,,,,USA
2259,Tyler Winklevoss,41,Finance & Investments,M,,,,USA
2259,Wu Chung-yi,67,Manufacturing,M,,,,TWN
2259,Eugene Wu,77,Finance & Investments,M,,,,TWN
2259,Wu Yonghua,52,Fashion & Retail,M,,,,CHN
2259,Xia Xinde,58,Manufacturing,M,,,,CHN
2259,Wenbo Xiang,60,Manufacturing,M,,,,CHN
2259,Xu Jin,58,Food & Beverage,M,,,,CHN
2259,Xu Shijun & family,60,Manufacturing,M,,,,CHN
2259,Wanmao Xu,78,Service,M,,,,CHN
2259,Xu Yuejuan,61,Manufacturing,F,,,,CHN
2259,Vadim Yakunin,60,Healthcare,M,,,,RUS
2259,Yang Yunyun,46,Fashion & Retail,F,,,,CHN
2259,Matei Zaharia,37,Technology,M,,,,USA
2259,Zan Shengda,60,Diversified,M,,,,CHN
2259,Zhang Xuezheng,47,Technology,M,,,,CHN
2259,Zhang Yin,66,Manufacturing,F,,,,CHN
2259,Ning Zhao,56,Healthcare,F,,,,CHN
2259,Zhou Wen & family,58,Manufacturing,M,,,,CHN
2259,Zhu Xingliang,63,Construction & Engineering,M,,,,CHN
2405,Hari Krishan Agarwal,66,Fashion & Retail,M,,,,IND
2405,Farkhad Akhmedov,67,Energy,M,,,,RUS
2405,Joseph Bae,51,Finance & Investments,M,,,,USA
2405,Abigail Bennett,42,Food & Beverage,F,,,,USA
2405,Sara Blakely,52,Fashion & Retail,F,Founder,,Spanx,USA
2405,Lloyd Blankfein,68,Finance & Investments,M,CEO,,Goldman Sachs Group,USA
2405,Henadiy Boholyubov,61,Diversified,M,,,,UKR
2405,Stephane Bonvin,56,Real Estate,M,,,,CHE
2405,Oleg Boyko,58,Diversified,M,,,,CHE
2405,Ryan Breslow,28,Technology,M,Cofounder,,Bolt,USA
2405,Thomas Bruch,72,Fashion & Retail,M,,,,DEU
2405,Marina Budiman,61,Technology,F,,,,IDN
2405,Pradip Burman,80,Food & Beverage,M,,,,IND
2405,Cao Kejian,60,Manufacturing,M,,,,CHN
2405,Giuliana Caprotti,82,Food & Beverage,F,,,,ITA
2405,Marina Caprotti,45,Food & Beverage,F,,,,ITA
2405,Chang Jing,40,Technology,M,,,,CHN
2405,Chen Baohua,61,Healthcare,M,,,,CHN
2405,Gang Chen,55,Energy,M,,,,CHN
2405,Liying Chen,47,Logistics,F,,,,CHN
2405,Tony Chen,73,Technology,M,,,,TWN
2405,Chen Xueling,55,Manufacturing,F,,,,CHN
2405,Cheng Lili,58,Food & Beverage,M,,,,CHN
2405,Weili Dai,61,Technology,F,Cofounder-President,,Marvell Technology Group Ltd.,USA
2405,Deng Yingzhong,72,Manufacturing,M,,,,CHN
2405,Shlomo Eliahu,87,Finance & Investments,M,,,,ISR
2405,Henry Engelhardt,65,Finance & Investments,M,Chief Executive Officer,,Admiral Group ,GBR
2405,Gabriel Escarrer,88,Service,M,,,,ESP
2405,Daniel Feffer,63,Manufacturing,M,,,,BRA
2405,Ruben Feffer,53,Manufacturing,M,,,,BRA
2405,Gleb Fetisov,56,Telecom,M,,,,CYP
2405,Paul Fireman,79,Fashion & Retail,M,,,,USA
2405,Robert Fisher,69,Fashion & Retail,M,Chairman of the Board,,Gap Inc.,USA
2405,Bernd Freier,66,Fashion & Retail,M,,,,DEU
2405,Donald Friese,82,Manufacturing,M,,,,USA
2405,Gan Zhongru,74,Healthcare,M,,,,CHN
2405,Rahul Gautam,70,Fashion & Retail,M,,,,IND
2405,David Golub,60,Finance & Investments,M,Investor,,,USA
2405,Pavel Golubkov,47,Real Estate,M,,,,RUS
2405,Said Gutseriev,34,Energy,M,,,,GBR
2405,Polys Haji-Ioannou,63,Service,M,,,,MCO
2405,He Zuxun,57,Food & Beverage,M,,,,CHN
2405,David Hindawi,78,Technology,M,Executive Chairman,,Tanium,USA
2405,Huang Shan,52,Technology,M,,,,CHN
2405,Huang Xiaofen & family,61,Technology,F,,,,CHN
2405,Hiroshi Ishibashi,76,Automotive,M,,,,JPN
2405,Masayuki Ishihara,74,Gambling & Casinos,M,,,,JPN
2405,Chatchai Kaewbootta,71,Finance & Investments,M,,,,THA
2405,Nikhil Kamath,36,Finance & Investments,M,,,,IND
2405,Jonas Kamprad,57,Finance & Investments,M,,,,GBR
2405,Mathias Kamprad,53,Finance & Investments,M,,,,GBR
2405,Peter Kamprad,59,Finance & Investments,M,,,,BEL
