doc_id,label,pos_bigram,count
388,1,ADP_NOUN,17
388,1,NOUN_AUX,15
389,0,NOUN_ADP,44
389,0,PRON_AUX,38
389,0,DET_NOUN,35
389,0,ADP_DET,32
389,0,ADJ_NOUN,24
390,1,PRON_AUX,8
390,1,ADJ_NOUN,6
390,1,NOUN_PRON,6
390,1,VERB_ADP,6
390,1,PRON_VERB,5
391,0,DET_NOUN,25
391,0,AUX_VERB,18
391,0,PRON_AUX,16
391,0,NOUN_AUX,15
391,0,VERB_PRON,10
392,0,DET_NOUN,25
392,0,NOUN_NOUN,24
392,0,ADJ_NOUN,22
392,0,NOUN_ADP,21
392,0,ADP_DET,19
393,0,DET_NOUN,31
393,0,NOUN_ADP,24
393,0,ADP_DET,19
393,0,ADJ_NOUN,19
393,0,DET_ADJ,12
394,1,ADJ_NOUN,17
394,1,NOUN_ADP,11
394,1,ADP_NOUN,10
394,1,VERB_NOUN,10
394,1,NOUN_NOUN,9
395,1,NOUN_ADP,40
395,1,NOUN_NOUN,38
395,1,ADJ_NOUN,36
395,1,DET_NOUN,35
395,1,ADP_NOUN,25
396,0,NOUN_ADP,18
396,0,AUX_VERB,18
396,0,DET_NOUN,18
396,0,ADP_NOUN,16
396,0,PRON_AUX,16
397,0,DET_NOUN,24
397,0,NOUN_ADP,16
397,0,ADP_NOUN,15
397,0,VERB_NOUN,12
397,0,ADJ_NOUN,12
398,1,NOUN_ADP,18
398,1,DET_NOUN,17
398,1,ADJ_NOUN,15
398,1,ADP_NOUN,15
398,1,NOUN_CCONJ,13
399,0,DET_NOUN,26
399,0,NOUN_ADP,25
399,0,ADP_NOUN,23
399,0,ADJ_NOUN,21
399,0,PRON_VERB,19
400,1,ADJ_NOUN,19
400,1,NOUN_ADP,13
400,1,VERB_ADP,10
400,1,DET_NOUN,10
400,1,VERB_NOUN,10
401,0,PRON_AUX,23
401,0,PART_VERB,18
401,0,VERB_ADP,17
401,0,ADJ_NOUN,14
401,0,VERB_PRON,12
402,0,DET_NOUN,55
402,0,ADJ_NOUN,47
402,0,NOUN_ADP,41
402,0,ADP_DET,33
402,0,NOUN_AUX,31
403,1,ADJ_NOUN,25
403,1,NOUN_ADP,23
403,1,DET_NOUN,21
403,1,NOUN_VERB,16
403,1,ADP_DET,12
404,0,DET_NOUN,26
404,0,ADJ_NOUN,21
404,0,NOUN_AUX,20
404,0,AUX_PART,17
404,0,PRON_AUX,17
405,1,DET_NOUN,39
405,1,NOUN_ADP,31
405,1,ADP_NOUN,28
405,1,ADJ_NOUN,27
405,1,NOUN_AUX,19
406,1,PRON_AUX,21
406,1,ADJ_NOUN,20
406,1,NOUN_PRON,15
406,1,AUX_VERB,13
406,1,NOUN_NOUN,12
407,0,DET_NOUN,46
407,0,ADJ_NOUN,30
407,0,VERB_ADP,27
407,0,ADP_DET,25
407,0,NOUN_NOUN,24
408,0,NOUN_ADP,51
408,0,DET_NOUN,49
408,0,ADP_DET,38
408,0,ADJ_NOUN,32
408,0,ADP_NOUN,25
409,0,DET_NOUN,24
409,0,NOUN_ADP,17
409,0,ADJ_NOUN,16
409,0,NOUN_AUX,15
409,0,ADP_DET,12
410,1,ADJ_NOUN,36
410,1,NOUN_NOUN,23
410,1,NOUN_ADP,19
410,1,NOUN_VERB,18
410,1,VERB_ADP,14
411,0,VERB_ADP,23
411,0,ADP_PRON,21
411,0,DET_NOUN,21
411,0,PRON_AUX,19
411,0,AUX_VERB,19
412,1,ADP_NOUN,11
412,1,NOUN_ADP,10
412,1,ADJ_NOUN,9
412,1,NOUN_VERB,9
412,1,VERB_NOUN,8
413,0,DET_NOUN,15
413,0,ADJ_NOUN,13
413,0,NOUN_NOUN,12
413,0,VERB_NOUN,9
413,0,NOUN_CCONJ,9
414,0,DET_NOUN,19
414,0,VERB_DET,14
414,0,ADJ_NOUN,13
414,0,NOUN_AUX,11
414,0,NOUN_ADP,10
415,1,ADJ_NOUN,14
415,1,DET_NOUN,10
415,1,NOUN_PRON,10
415,1,PRON_VERB,9
415,1,PART_VERB,8
416,1,ADJ_NOUN,30
416,1,NOUN_ADP,19
416,1,VERB_NOUN,18
416,1,NOUN_VERB,16
416,1,NOUN_NOUN,14
417,1,ADJ_NOUN,51
417,1,NOUN_ADP,39
417,1,VERB_DET,24
417,1,DET_ADJ,19
417,1,ADP_ADJ,18
418,0,DET_NOUN,30
418,0,PRON_AUX,30
418,0,PART_VERB,26
418,0,ADJ_NOUN,24
418,0,VERB_ADP,24
419,0,ADJ_NOUN,9
419,0,VERB_PRON,8
419,0,NOUN_NOUN,8
419,0,PRON_VERB,6
419,0,DET_ADJ,6
420,1,ADJ_NOUN,16
420,1,NOUN_NOUN,10
420,1,NOUN_ADP,10
420,1,ADP_NOUN,8
420,1,NOUN_VERB,8
421,0,ADJ_NOUN,49
421,0,PRON_AUX,42
421,0,NOUN_ADP,41
421,0,PRON_VERB,39
421,0,VERB_PRON,37
422,1,ADJ_NOUN,22
422,1,NOUN_ADP,21
422,1,ADP_NOUN,18
422,1,VERB_NOUN,15
422,1,VERB_PRON,12
423,1,ADJ_NOUN,30
423,1,NOUN_ADP,17
423,1,NOUN_NOUN,15
423,1,NOUN_VERB,13
423,1,VERB_ADP,12
424,0,DET_NOUN,23
424,0,NOUN_AUX,15
424,0,VERB_PRON,14
424,0,ADJ_NOUN,14
424,0,NOUN_NOUN,13
425,0,ADJ_NOUN,31
425,0,DET_NOUN,28
425,0,ADP_DET,27
425,0,DET_ADJ,25
425,0,VERB_ADP,22
426,1,NOUN_NOUN,42
426,1,ADJ_NOUN,33
426,1,NOUN_ADP,25
426,1,NOUN_VERB,16
426,1,ADP_NOUN,15
427,1,ADJ_NOUN,23
427,1,NOUN_ADP,23
427,1,DET_ADJ,11
427,1,VERB_ADP,10
427,1,ADP_DET,10
428,0,DET_NOUN,32
428,0,PRON_AUX,18
428,0,NOUN_ADP,17
428,0,PART_VERB,16
428,0,ADV_VERB,12
429,0,DET_NOUN,42
429,0,VERB_ADP,24
429,0,ADP_DET,20
429,0,PRON_AUX,20
429,0,VERB_DET,18
430,0,ADP_NOUN,17
430,0,DET_NOUN,16
430,0,PRON_VERB,14
430,0,NOUN_ADP,14
430,0,VERB_ADP,14
431,1,ADJ_NOUN,27
431,1,PRON_AUX,21
431,1,VERB_PRON,16
431,1,VERB_ADP,14
431,1,AUX_VERB,14
432,0,ADJ_NOUN,25
432,0,NOUN_NOUN,20
432,0,NOUN_AUX,18
432,0,NOUN_ADP,17
432,0,ADV_VERB,13
433,0,NOUN_ADP,50
433,0,DET_NOUN,47
433,0,ADJ_NOUN,33
433,0,ADP_NOUN,29
433,0,ADP_DET,26
434,0,PRON_AUX,15
434,0,AUX_VERB,15
434,0,DET_NOUN,14
434,0,ADJ_NOUN,11
434,0,NOUN_PRON,9
435,0,DET_NOUN,21
435,0,NOUN_ADP,19
435,0,PRON_VERB,18
435,0,VERB_ADP,15
435,0,ADP_NOUN,15
436,1,NOUN_NOUN,41
436,1,NOUN_ADP,31
436,1,VERB_NOUN,27
436,1,ADJ_NOUN,25
436,1,DET_NOUN,22
437,0,VERB_NOUN,12
437,0,NOUN_VERB,11
437,0,DET_NOUN,9
437,0,NOUN_ADP,8
437,0,NOUN_NOUN,8
438,1,NOUN_ADP,31
438,1,NOUN_NOUN,31
438,1,ADJ_NOUN,30
438,1,NOUN_VERB,22
438,1,VERB_NOUN,19
439,0,AUX_VERB,29
439,0,ADP_NOUN,25
439,0,ADJ_NOUN,22
439,0,NOUN_ADP,18
439,0,NOUN_NOUN,16
440,0,DET_NOUN,37
440,0,NOUN_ADP,33
440,0,ADP_DET,30
440,0,ADJ_NOUN,17
440,0,NOUN_DET,12
441,0,NOUN_ADP,26
441,0,PRON_VERB,16
441,0,ADP_NOUN,16
441,0,ADJ_NOUN,15
441,0,DET_ADJ,14
442,1,DET_NOUN,11
442,1,ADP_DET,7
442,1,PRON_AUX,7
442,1,NOUN_ADP,6
442,1,NOUN_PRON,6
443,0,ADJ_NOUN,15
443,0,DET_NOUN,14
443,0,PRON_AUX,13
443,0,AUX_VERB,13
443,0,ADP_NOUN,12
444,1,ADJ_NOUN,31
444,1,NOUN_ADP,28
444,1,NOUN_NOUN,23
444,1,ADP_NOUN,22
444,1,NOUN_VERB,15
445,1,ADJ_NOUN,29
445,1,DET_NOUN,28
445,1,NOUN_ADP,28
445,1,VERB_ADP,25
445,1,ADP_PRON,19
446,1,ADJ_NOUN,33
446,1,NOUN_NOUN,25
446,1,NOUN_ADP,22
446,1,NOUN_VERB,19
446,1,VERB_ADP,18
447,0,DET_NOUN,31
447,0,NOUN_ADP,29
447,0,PART_VERB,20
447,0,ADP_NOUN,19
447,0,ADJ_NOUN,19
448,0,DET_NOUN,24
448,0,NOUN_AUX,18
448,0,NOUN_NOUN,17
448,0,NOUN_ADP,17
448,0,AUX_VERB,17
449,0,DET_NOUN,32
449,0,AUX_VERB,20
449,0,NOUN_ADP,18
449,0,PRON_AUX,18
449,0,VERB_DET,15
450,0,DET_NOUN,35
450,0,ADP_DET,18
450,0,AUX_VERB,18
450,0,PRON_AUX,15
450,0,NOUN_AUX,13
451,1,ADJ_NOUN,21
451,1,NOUN_ADP,20
451,1,NOUN_NOUN,19
451,1,DET_NOUN,15
451,1,NOUN_PRON,14
452,0,DET_NOUN,13
452,0,ADJ_NOUN,12
452,0,PRON_VERB,11
452,0,PRON_AUX,10
452,0,NOUN_ADP,10
453,1,ADJ_NOUN,19
453,1,NOUN_ADP,18
453,1,ADP_NOUN,12
453,1,DET_NOUN,11
453,1,PROPN_PROPN,11
454,0,DET_NOUN,45
454,0,ADJ_NOUN,28
454,0,NOUN_ADP,28
454,0,NOUN_AUX,22
454,0,DET_ADJ,20
455,1,ADJ_NOUN,38
455,1,NOUN_ADP,22
455,1,VERB_DET,15
455,1,NOUN_VERB,15
455,1,DET_ADJ,14
456,0,NOUN_ADP,25
456,0,ADJ_NOUN,24
456,0,ADP_DET,23
456,0,DET_NOUN,22
456,0,DET_ADJ,19
457,0,PRON_AUX,27
457,0,DET_NOUN,25
457,0,VERB_ADP,24
457,0,AUX_VERB,22
457,0,SCONJ_PRON,19
458,0,NOUN_ADP,30
458,0,NOUN_NOUN,23
458,0,ADJ_NOUN,22
458,0,DET_NOUN,17
458,0,ADP_NOUN,15
459,1,ADJ_NOUN,20
459,1,NOUN_ADP,11
459,1,NOUN_NOUN,10
